image,name,caption,normal,silver,gold,iridium,place,time,season,weather,level,exp
https://stardewvalleywiki.com/mediawiki/images/8/85/Flounder.png,比目鱼,它生活在底部，所以两只眼睛都在它的头顶上。,100,125,150,200,海洋，姜岛海洋,上午6:00至晚上8:00, 春季 夏季（姜岛任意季节）,任何,50 下坠型,19
https://stardewvalleywiki.com/mediawiki/images/3/33/Midnight_Carp.png,午夜鲤鱼,这种害羞的鱼只在晚上感到舒适。,150,187,225,300,深山湖泊煤矿森林池塘姜岛池塘与河流,晚上10:00至凌晨2:00, 秋季 冬季（姜岛任意季节）,任何,55 混合型,21
https://stardewvalleywiki.com/mediawiki/images/4/42/Sturgeon.png,鲟鱼,古老的生物链底层生物，数量一直在减少。雌性的寿命长达150年。,200,250,300,400,深山湖泊,上午6:00至晚上7:00, 夏季 冬季,任何,78 混合型,29
https://stardewvalleywiki.com/mediawiki/images/0/01/Tiger_Trout.png,虎纹鳟鱼,一种不能繁殖后代的稀有杂交鳟鱼。,150,187,225,300,河流（小镇+森林）,上午6:00至晚上7:00, 秋季 冬季,任何,60 猛冲型,23
https://stardewvalleywiki.com/mediawiki/images/d/db/Bullhead.png,大头鱼,鲶鱼的近亲，以湖底的多种食物为食。,75,93,112,150,深山湖泊,任意时间,任意季节,任何,46 平滑型,18
https://stardewvalleywiki.com/mediawiki/images/7/73/Tilapia.png,罗非鱼,一种主要食素、喜爱温水的鱼。,75,93,112,150,海洋，姜岛河流,上午6:00至下午2:00, 夏季 秋季（姜岛任意时间）,任何,50 混合型,19
https://stardewvalleywiki.com/mediawiki/images/b/bd/Chub.png,鲢鱼,一种常见的淡水鱼，因贪吃的食性而广为人知。,50,62,75,100,河流（森林）深山湖泊,任意时间,任意季节,任何,35 猛冲型,14
https://stardewvalleywiki.com/mediawiki/images/1/18/Dorado.png,麻哈脂鲤,凶猛的肉食鱼，有着绚烂的橙色鳞片。,100,125,150,200,河流（森林）,上午6:00至晚上7:00, 夏季,任何,78 混合型,29
https://stardewvalleywiki.com/mediawiki/images/e/e1/Albacore.png,青花鱼,"喜欢温度的""交界处""，即指冷水与温水交界的地方。",75,93,112,150,海洋,上午6:00至上午11:00下午6:00至凌晨2:00, 秋季 冬季,任何,60 混合型,23
https://stardewvalleywiki.com/mediawiki/images/e/ef/Shad.png,西鲱,结群生活在海里，但会回到河里产卵。,60,75,90,120,河流（小镇+森林）,上午9:00至凌晨2:00, 春季 夏季 秋季, 雨天,45 平滑型,18
https://stardewvalleywiki.com/mediawiki/images/8/87/Lingcod.png,蛇齿单线鱼,可怕的捕食者，会吞下一切可以吃下的东西。,120,150,180,240,河流（小镇+森林）深山湖泊,任意时间, 冬季,任何,85 混合型,31
https://stardewvalleywiki.com/mediawiki/images/0/02/Halibut.png,大比目鱼,形状扁平、居住在大洋底的鱼。,80,100,120,160,海洋,上午6:00至上午11:00晚上7:00至凌晨2:00, 春季 夏季 冬季,任何,50 下坠型,19
https://stardewvalleywiki.com/mediawiki/images/9/97/Woodskip.png,木跃鱼,一种十分敏感的鱼，只能在森林深处的水池中生存。,75,93,112,150,秘密森林池塘森林农场,任意时间,任意季节,任何,50 混合型,19
https://stardewvalleywiki.com/mediawiki/images/a/ad/Void_Salmon.png,虚空鲑鱼,一条鲑鱼，被虚空力量所扭曲。新鲜的肉是墨黑色的，但当暴露于空气中时很快变成粉红色的了。,150,187,225,300,巫婆沼泽,任意时间,任意季节,任何,80 混合型,29
https://stardewvalleywiki.com/mediawiki/images/3/34/Slimejack.png,史莱姆鱼,它身上裹了厚厚一层粘液，拿在手里总是要滑脱！,100,125,150,200,突变虫穴,任意时间,任意季节,任何,55 猛冲型,21
https://stardewvalleywiki.com/mediawiki/images/3/3a/Stingray.png,黄貂鱼,虽然有毒刺，但这种鱼很害羞，喜欢避开人类。,180,225,270,360,海盗湾（姜岛）,任意时间,任意季节,任何,80 下坠型,29
https://stardewvalleywiki.com/mediawiki/images/b/bb/Lionfish.png,狮子鱼,好斗的食肉性鱼，有毒刺。,100,125,150,200,姜岛海洋,任意时间,任意季节,任何,50 平滑型,19
https://stardewvalleywiki.com/mediawiki/images/e/ee/Blue_Discus.png,蓝铁饼鱼,色彩鲜艳的热带鱼，在水族馆很受欢迎。,120,150,180,240,姜岛池塘和河流,任意时间,任意季节,任何,60 猛冲型,23
https://stardewvalleywiki.com/mediawiki/images/6/67/Goby.png,虾虎鱼,有些虾虎鱼能攀上瀑布。,150,187,225,300,瀑布（煤矿森林）,任意时间,任意季节,任何,55 猛冲型,21
